# Waterkotte Resümat CD4 - Firmwareversion 8011
# Name,Menue,Addresse,Laenge,Typ,Min,Max,ReadOnly
Gesamt,-.--,00,11B,0,0,0,1
Temp-Aussen,0.00,00,4,f,0,0,1
Temp-Aussen-24h,0.01,04,4,f,0,0,1
Temp-Aussen-1h,0.02,08,4,f,0,0,1
Temp-Ruecklauf-Soll,0.03,0C,4,f,0,0,1
Temp-Ruecklauf,0.04,10,4,f,0,0,1
Temp-Vorlauf,0.05,14,4,f,0,0,1
Temp-Raum,0.06,18,4,f,0,0,1
Temp-Raum-1h,0.07,1C,4,f,0,0,1
Temp-WQuelle-Ein,0.08,20,4,f,0,0,1
Temp-WQuelle-Aus,0.09,24,4,f,0,0,1
Temp-Verdampfer,0.10,28,4,f,0,0,1
Temp-Kondensator,0.11,2C,4,f,0,0,1
Ww-Temp,2.03,30,4,f,0,0,1
Uhrzeit,3.00,34,3,t,0,0,1
Datum,3.01,37,3,d,0,0,1
Messbeginn-Zeit,3.02,3A,3,t,0,0,1
Messbeginn-Datum,3.03,3D,3,d,0,0,1
Hz-Messergebnis,3.04,41,4,f,0,0,1
Ww-Messergebnis,3.05,44,4,f,0,0,1
Mess-Reset,3.06,48,1,c,0,1,0
KomprBeginn-Zeit,3.07,49,3,t,0,0,1
KomprBeginn-Datum,3.08,4C,3,d,0,0,1
KomprBetrStunden,3.09,4F,4,f,0,0,1
Kompr-Mess-Reset,3.10,53,1,c,0,1,0
Unterbrechungen,4.00,54,1,b,0,0,1
Warnung-Eingang,4.01,55,1,b,0,0,1
Warnung-Ausgang,4.02,56,1,b,0,0,1
Warnung-Sonstige,4.03,57,1,b,0,0,1
Ausfaelle,4.04,58,1,b,0,0,1
Fuehler-Ausfall,4.05,59,1,b,0,0,1
Fuehler-KurzSchl,4.06,5A,1,b,0,0,1
FuehlerZaehler0,4.07,5B,2,n,0,0,1
FuehlRaum-Ausfall,4.08,5D,1,b,0,0,1
FuehlRaum-KurzSchl,4.09,5E,1,b,0,0,1
FuehlRaum-Zaehler0,4.10,5F,2,n,0,0,1
Ausfall-Zeit,5.00,61,3,t,0,0,1
Ausfall-Datum,5.01,64,3,d,0,0,1
Ausfall-Betriebszust.,5.02,67,1,b,0,0,1
Ausfall-Do-Buffer,5.03,68,1,b,0,0,1
Ausfall-Di-Buffer,5.04,69,1,b,0,0,1
Ausfall-FuehlAusfall,5.05,6A,1,b,0,0,1
Ausfall-FuehlKurzSchl,5.06,6B,1,b,0,0,1
Ausfall-Temp-Aussen,5.07,6C,4,f,0,0,1
Ausfall-Temp-WQuelle-Ein,5.08,70,4,f,0,0,1
Ausfall-Temp-WQuelle-Aus,5.09,74,4,f,0,0,1
Ausfall-Temp-Verdampfer,5.10,78,4,f,0,0,1
Ausfall-Temp-Ruecklauf,5.11,7C,4,f,0,0,1
Ausfall-Temp-Vorlauf,5.12,80,4,f,0,0,1
Ausfall-Temp-Kondensator,5.13,84,4,f,0,0,1
Ausfall-Temp-Ww,5.14,88,4,f,0,0,1
Ausfall-RaumAusfall,5.15,8C,1,b,0,0,1
Ausfall-RaumKurzsch,5.16,8C,1,b,0,0,1
Ausfall-Temp-Raum,5.17,8E,4,f,0,0,1
Ausfall-Reset,5.18,92,1,c,0,1,0
Kennwort,6.00,93,1,c,0,255,0
Werkseinstellung,6.01,94,1,c,0,1,0
ResetAnforderung,6.02,95,1,c,0,1,0
Betriebszustaende,8.00,96,1,b,0,0,1
Do-Buffer,8.01,97,1,b,0,0,1
Di-Buffer,8.02,98,1,b,0,0,1
Status-Gesamt,8.03,99,2,n,0,0,1
Status-Verriegel,8.04,9B,2,n,0,0,1
Status-Heizung,8.05,9D,2,n,0,0,1
Status-Stufe2,8.06,9F,2,n,0,0,1
Status-Wasser,8.07,A1,2,n,0,0,1
Status-WPumpe,8.08,A3,2,n,0,0,1
Mode-Heizung,8.09,A5,1,b,0,0,1
Mode-Wasser,8.10,A6,1,b,0,0,1
Versions-Datum,9.01,A7,3,d,0,0,1
CPU-Boot-Zeit,9.02,AA,3,t,0,0,1
CPU-Boot-Datum,9.03,AD,3,d,0,0,1
CRC-Summe,9.05,B0,2,n,0,0,1
Neu-Start,9.06,B2,1,c,0,1,1
Hz-Abschaltung,1.00,B3,1,c,0,1,0
Hz-Temp-Einsatz,1.01,B4,4,f,10.0,30.0,0
Hz-Temp-BasisSoll,1.02,B8,4,f,15.0,50.0,0
Hz-KlSteilheit,1.03,BC,4,f,0.0,100.0,0
Hz-SchnellAufhz,1.04,C0,1,c,0,1,0
Hz-Zeit-Ein,1.05,C1,3,t,0,0,0
Hz-Zeit-Aus,1.06,C4,3,t,0,0,0
